Afghanistan,Kabul,"34,53","69,17"
Albania,Tirana,"41,33","19,82"
Algeria,Algiers,"36,75","3,04"
American Samoa,Pago Pago,"-14,28","-170,70"
Andorra,Andorra la Vella,"42,51","1,52"
Angola,Luanda,"-8,84","13,23"
Anguilla,The Valley,"18,22","-63,06"
Antigua and Barbuda,St. John's,"17,12","-61,85"
Argentina,Buenos Aires,"-34,61","-58,38"
Armenia,Yerevan,"40,18","44,51"
Aruba,Oranjestad,"12,52","-70,03"
Australia,Canberra,"-35,28","149,13"
Austria,Vienna,"48,21","16,37"
Azerbaijan,Baku,"40,38","49,89"
"Bahamas, The",Nassau,"25,06","-77,34"
Bahrain,Manama,"26,22","50,58"
Bangladesh,Dhaka,"23,71","90,41"
Barbados,Bridgetown,"13,10","-59,62"
Belarus,Minsk,"53,90","27,57"
Belgium,Brussels,"50,85","4,35"
Belize,Belmopan,"17,25","-88,77"
Benin,Porto-Novo,"6,50","2,60"
Bermuda,Hamilton,"32,29","-64,78"
Bhutan,Thimphu,"27,47","89,64"
Bolivia,Sucre,"-19,03","-65,26"
Bosnia and Herzegovina,Sarajevo,"43,85","18,36"
Botswana,Gaborone,"-24,65","25,91"
Brazil,Brasília,"-15,78","-47,93"
British Indian Ocean Territory,Diego Garcia,"72,46","7,24"
British Virgin Islands,Road Town,"18,42","-64,62"
Brunei Darussalam,Bandar Seri Begawan,"4,94","114,95"
Bulgaria,Sofia,"42,70","23,32"
Burkina Faso,Ouagadougou,"12,37","-1,53"
Burundi,Bujumbura,"-3,38","29,36"
Cambodia,Phnom Penh,"11,56","104,92"
Cameroon,Yaoundé,"3,87","11,52"
Canada,Ottawa,"45,41","-75,70"
Cape Verde,Praia,"14,93","-23,51"
Cayman Islands,George Town,"19,29","-81,37"
Central African Republic,Bangui,"4,36","18,55"
Chad,N'Djamena,"12,11","15,04"
Chile,Santiago,"-33,46","-70,65"
China,Beijing,"39,91","116,40"
Christmas Island,The Settlement,"-10,42","105,68"
Cocos Islands,West Island,"-12,16","96,82"
Colombia,Bogotá,"4,61","-74,08"
Comoros,Moroni,"-11,70","43,26"
"Congo, Dem. Rep.",Kinshasa,"-4,32","15,31"
"Congo, Rep.",Brazzaville,"-4,27","15,28"
Cook Islands,Avarua,"-21,21","-159,78"
Costa Rica,San José,"9,93","-84,08"
Ivory Coast,Yamoussoukro,"6,82","-5,28"
Croatia,Zagreb,"45,81","15,98"
Cuba,Havana,"23,13","-82,38"
Cyprus,Nicosia,"35,17","33,37"
Czech Republic,Prague,"50,09","14,42"
Denmark,Copenhagen,"55,68","12,57"
Djibouti,Djibouti,"11,59","43,15"
Dominica,Roseau,"15,30","-61,39"
Dominican Republic,Santo Domingo,"18,50","-69,99"
East Timor,Dili,"-8,56","125,57"
Ecuador,Quito,"-0,23","-78,52"
Egypt,Cairo,"30,06","31,25"
El Salvador,San Salvador,"13,69","-89,19"
Equatorial Guinea,Malabo,"3,75","8,78"
Eritrea,Asmara,"15,33","38,93"
Estonia,Tallinn,"59,44","24,75"
Ethiopia,Addis Ababa,"9,02","38,75"
Faeroe Islands,Tórshavn,"62,01","-6,77"
Falkland Islands,Stanley,"-51,70","-57,85"
Fiji,Suva,"-18,14","178,44"
Finland,Helsinki,"60,17","24,94"
France,Paris,"48,85","2,35"
French Guiana,Cayenne,"4,93","-52,33"
French Polynesia,Papeete,"-17,53","-149,57"
Gabon,Libreville,"0,39","9,45"
"Gambia, The",Banjul,"13,45","-16,58"
Georgia,Tbilisi,"41,69","44,83"
Germany,Berlin,"52,52","13,41"
Ghana,Accra,"5,56","-0,20"
Gibraltar,Gibraltar,"36,14","-5,35"
Greece,Athens,"37,98","23,72"
Greenland,Nuuk (Godthåb),"64,18","-51,72"
Grenada,St. George's,"12,06","-61,75"
Guadeloupe,Basse-Terre,"16,00","-61,73"
Guam,Hagåtña,"13,48","144,75"
Guatemala,New Guatemala,"14,64","-90,51"
Guernsey,St Peter Port,"49,46","-2,54"
Guinea,Conakry,"9,54","-13,68"
Guinea-Bissau,Bissau,"11,86","-15,60"
Guyana,Georgetown,"6,80","-58,16"
Haiti,Port-au-Prince,"18,54","-72,34"
Honduras,Tegucigalpa,"14,08","-87,21"
"Hong Kong SAR, China",Hong Kong,"22,29","114,16"
Hungary,Budapest,"47,50","19,04"
Iceland,Reykjavík,"64,14","-21,90"
India,New Delhi,"28,64","77,22"
Indonesia,Jakarta,"-6,21","106,85"
"Iran, Islamic Rep.",Tehran,"35,69","51,42"
Iraq,Baghdad,"33,34","44,40"
Ireland,Dublin,"53,33","-6,25"
Isle of Man,Douglas,"54,15","-4,48"
Israel,Jerusalem,"35,23","31,77"
Italy,Rome,"41,89","12,48"
Jamaica,Kingston,"18,00","-76,79"
Japan,Edo,"35,69","139,69"
Jersey,Saint Helier,"49,19","-2,10"
Jordan,Amman,"31,96","35,95"
Kazakhstan,Astana,"51,18","71,45"
Kenya,Nairobi,"-1,28","36,82"
Kiribati,South Tarawa,"1,33","172,98"
Kosovo,Pristina,"42,67","21,17"
Kuwait,Kuwait City,"29,37","47,98"
Kyrgyz Republic,Bishkek,"42,87","74,59"
Lao PDR,Vientiane,"17,97","102,60"
Latvia,Riga,"56,95","24,11"
Lebanon,Beirut,"33,89","35,49"
Lesotho,Maseru,"-29,32","27,48"
Liberia,Monrovia,"6,30","-10,80"
Libya,Tripoli,"32,88","13,19"
Liechtenstein,Vaduz,"47,14","9,52"
Lithuania,Vilnius,"54,69","25,28"
Luxembourg,Luxembourg,"49,61","6,13"
"Macao SAR, China",Macao,"22,20","113,55"
"Macedonia, FYR",Skopje,"42,00","21,43"
Madagascar,Antananarivo,"-18,91","47,54"
Malawi,Lilongwe,"-13,97","33,79"
Malaysia,Kuala Lumpur,"3,14","101,69"
Maldives,Malé,"4,17","73,51"
Mali,Bamako,"12,65","-8,00"
Malta,Valletta,"35,90","14,51"
Marshall Islands,Majuro,"7,09","171,38"
Martinique,Fort-de-France,"14,61","-61,07"
Mauritania,Nouakchott,"18,09","-15,98"
Mauritius,Port Louis,"-20,16","57,50"
Mayotte,Mamoutzou,"-12,78","45,23"
Mexico,Mexico City,"19,43","-99,13"
"Micronesia, Fed. Sts.",Palikir,"6,92","158,16"
Moldova,Chişinău,"47,01","28,86"
Monaco,Monaco,"43,73","7,42"
Mongolia,Ulan Bator,"47,91","106,88"
Montenegro,Podgorica,"42,44","19,26"
Montserrat,Plymouth,"16,71","-62,21"
Morocco,Rabat,"34,01","-6,83"
Mozambique,Maputo,"-25,97","32,58"
Myanmar,Nay Pyi Taw,"19,75","96,13"
Namibia,Windhoek,"-22,56","17,08"
Nauru,Yaren,"166,93","-0,54"
Nepal,Kathmandu,"27,70","85,32"
Netherlands,Amsterdam,"52,37","4,89"
Netherlands Antilles,Willemstad,"-68,92","12,10"
New Caledonia,Noumea,"-22,28","166,46"
New Zealand,Wellington,"-41,29","174,78"
Nicaragua,Managua,"12,13","-86,25"
Niger,Niamey,"13,51","2,11"
Nigeria,Abuja,"9,07","7,48"
Niue,Alofi,"-19,06","-169,92"
Norfolk Island,Kingston,"-29,05","167,97"
North Korea,Pyongyang,"39,03","125,75"
Northern Mariana Islands,Saipan,"15,21","145,75"
Norway,Oslo,"59,91","10,75"
Oman,Muscat,"23,61","58,59"
Pakistan,Islamabad,"33,72","73,04"
Palau,Melekeok,"7,50","134,62"
Panama,Panama City,"8,99","-79,52"
Papua New Guinea,Port Moresby,"-9,44","147,18"
Paraguay,Asunción,"-25,30","-57,64"
Peru,Lima,"-12,04","-77,03"
Philippines,Manila,"14,60","120,98"
Pitcairn,Adamstown,"-25,07","-130,10"
Poland,Warsaw,"52,23","21,01"
Portugal,Lisbon,"38,72","-9,13"
Puerto Rico,San Juan,"18,47","-66,11"
Qatar,Doha,"25,28","51,52"
Republic of Korea,Seoul,"37,57","126,98"
Reunion,Saint-Denis,"-20,88","55,45"
Romania,Bucharest,"44,43","26,11"
Russian Federation,Moscow,"55,75","37,62"
Rwanda,Kigali,"-1,95","30,06"
Saint Barthélemy,Gustavia,"17,90","-62,85"
Saint Helena,Jamestown,"-15,94","-5,72"
Saint Pierre and Miquelon,Saint-Pierre,"46,78","-56,17"
Samoa,Apia,"-13,83","-171,77"
San Marino,San Marino,"43,94","12,45"
Sao Tome and Principe,São Tomé,"0,34","6,73"
Saudi Arabia,Riyadh,"24,69","46,72"
Senegal,Dakar,"14,69","-17,44"
Serbia,Belgrade,"44,80","20,47"
Seychelles,Victoria,"-4,62","55,45"
Sierra Leone,Freetown,"8,48","-13,23"
Singapore,Singapore,"1,29","103,85"
Sint Maarten (Dutch part),Marigot,"18,07","-63,08"
Slovak Republic,Bratislava,"48,15","17,11"
Slovenia,Ljubljana,"46,05","14,51"
Solomon Islands,Honiara,"-9,43","159,95"
Somalia,Mogadishu,"2,04","45,34"
South Africa,Pretoria,"-25,74","28,19"
South Georgia and the South Sandwich Islands,Grytviken,"-54,28","-36,51"
Spain,Madrid,"40,42","-3,70"
Sri Lanka,Colombo,"6,93","79,85"
St. Kitts and Nevis,Basseterre,"17,29","-62,73"
St. Lucia,Castries,"14,00","-61,01"
St. Martin (French part),Marigot,"18,07","-63,08"
St. Vincent and the Grenadines,Kingstown,"13,16","-61,22"
Sudan,Khartoum,"15,55","32,53"
Suriname,Paramaribo,"5,87","-55,17"
Svalbard and Jan Mayen,Longyearbyen,"78,22","15,64"
Swaziland,Mbabane,"-26,32","31,13"
Sweden,Stockholm,"59,33","18,06"
Switzerland,Berne,"46,95","7,45"
Syrian Arab Republic,Damascus,"33,51","36,29"
Taiwan,Taipei,"25,05","121,53"
Tajikistan,Dushanbe,"38,54","68,78"
Tanzania,Dodoma,"-6,17","35,74"
Thailand,Bangkok,"13,75","100,50"
Togo,Lomé,"6,14","1,21"
Tokelau,Nukunonu,"-171,85","-9,20"
Tonga,Nuku'alofa,"-21,13","-175,20"
Trinidad and Tobago,Port of Spain,"10,67","-61,52"
Tunisia,Tunis,"36,82","10,17"
Turkey,Ankara,"39,92","32,85"
Turkmenistan,Ashkhabad,"37,95","58,38"
Turks and Caicos Islands,Cockburn Town,"21,46","-71,14"
Tuvalu,Funafuti,"-8,52","179,19"
U.S. Virgin Islands,Charlotte Amalie,"18,34","-64,93"
Uganda,Kampala,"0,32","32,58"
Ukraine,Kiev,"50,45","30,52"
United Arab Emirates,Abu Dhabi,"24,47","54,37"
United Kingdom,London,"51,51","-0,13"
United States of America ,Washington,"38,90","-77,04"
Uruguay,Montevideo,"-34,83","-56,17"
Uzbekistan,Tashkent,"41,26","69,22"
Vanuatu,Port Vila,"-17,73","168,32"
Vatican,Vatican,"41,90","12,45"
Venezuela,Caracas,"10,49","-66,88"
Vietnam,Hanoi,"21,02","105,84"
Wallis and Futuna,Mata-Utu,"-13,28","-176,17"
West Bank and Gaza,East Jerusalem,"35,23","31,77"
Western Sahara,El Aaiún,"27,16","-13,20"
"Yemen, Rep.",Sanaa,"15,35","44,21"
Zambia,Lusaka,"-15,41","28,29"
Zimbabwe,Harare,"-17,83","31,05"
