id,version_id,env_impact_id,visible
456,6,2,f
457,6,3,f
458,6,7,f
459,6,9,f
460,6,11,f
461,6,12,f
462,6,16,f
463,6,17,f
464,6,19,f
311,2,1,f
312,2,2,f
313,2,3,f
314,2,9,f
315,2,10,f
316,2,15,f
317,2,19,f
318,4,1,t
319,4,2,t
320,4,3,t
321,4,4,t
322,4,6,t
323,4,7,t
324,4,8,t
325,4,9,t
326,4,10,t
327,4,11,t
328,4,15,t
329,4,16,t
330,4,17,t
331,4,18,t
332,4,19,t
333,4,20,t
334,4,13,f
445,5,2,t
446,5,4,t
447,5,9,t
448,5,20,t
449,5,6,f
450,5,7,f
451,5,8,f
452,5,10,f
453,5,11,f
454,5,16,f
455,5,18,f
465,3,2,t
466,3,9,t
467,3,10,t
468,3,12,t
469,3,18,t
470,3,19,t
471,3,15,f
472,3,16,f
