id,name
1,deneme
2,Yeşiller Partisi
3,3. Köprü Yerine Yaşam Platformu
4,Arnavutköy Semt Girişimi
5,TMMOB
6,Batı Karadeniz Ormancılık Araştırma Enstitüsü Müdürlüğü
7,Abant İzzet Baysal Üniversitesi
8,Köroğlu Doğa ve Amatör Olta Balıkçıları Derneği
9,TEMA
10,TMMOB  İnşaat Müh. Odası
11,TMMOB Mimarlar Odası
12,TMMOB Şehir Plancıları Odası
13,TMMOB Orman Mühendisleri Odası
14,Bolu Mimarlar Odası
15,Bolu İnşaat Müh. Odası.
16,FOÇEP
17,Nükleer Karşıtı Platformlar
18,Doğu Akdeniz Çevre Platformu
19,Küresel Eylem Grubu
20,Greenpeace
21,Doğa Derneği ve çok sayıda çevre kuruluşu ile siyasi parti
22,Arkeologlar Derneği
23,Mimarlar Odası
24,İzmir Barosu
25,Şehir Planlamacıları Odası vs.
